,AmazonSDETQuestions
15,<p>5)Give the various automation scripts and tools that I implemented in my current project.</p>
16,"<p><strong>F2F-4(Hiring Manager):</strong><br/>
1) Lots of HR, behavioral and team fit questions</p>"
17,<p>2) Describe the most challenging project I have worked on…and why is it challenging.</p>
18,<p>3) An e-commerce site has a particular functionality created by a group A and another functionality created by group B. Design a testing framework that could test the work by A as well as A/\B(intersection).</p>
19,<p>4) I was working  as a security Analyst.So I was asked about 5 critical hacking techniques that can be used to a e-commerce site and describe each.</p>
20,<p><strong>F2F-5(Bar raiser):</strong></p>
21,<p> 1)Again behavioral and team fit questions.</p>
22,"<p>2)Write a program to check the validity  of  sorting algorithms used to sort Linked lists.Consider the case where 2 nodes have equal values too.<br/>
I gave a optimized code using hash table concept. The interviewer was pretty satisfied with my coding ability and started asking me about my projects.</p>"
23,<p>3)More questions on my projects</p>
24,<p>Thank you geeksforgeeks for helping me out during my preparation.</p>
25,"<p>If you like GeeksforGeeks and would like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks<br/>
<!-- code written only in below-mentioned div will be going to append in each articles having mentioned company name and interview experiences term name. --></p>"
26,<p></p>
27,<p>I was interviewed for the position of SDET-1 few days back at Chennai. Here is my interview experience: <!--more--></p>
28,"<p><strong>Coding  round (Full code required):</strong><br/>
1) <a href=""https://practice.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1"" rel=""noopener"" target=""_blank"">Given a linked list. Check whether it is a palindrome</a> (without using  any extra space).<br/>
2) <a href=""https://practice.geeksforgeeks.org/problems/mirror-tree/1"" rel=""noopener"" target=""_blank"">Write a program to return the mirror tree of a given binary tree.</a><br/>
3) <a href=""https://practice.geeksforgeeks.org/problems/rotate-by-90-degree/0"" rel=""noopener"" target=""_blank"">Given a 2-D array, Rotate it by 90 degrees.</a></p>"
29,"<p><strong>F2F-I:</strong><br/>
1) Given a phone number. Check whether it is unique or not(ie no duplicates)<br/>
I gave a o(n^2) TC algo first which he wanted to optimize. After 3 series of optimization ,I came up with a  o(n) solution with o(1) space complexity.</p>"
30,"<p>2)<a href=""https://practice.geeksforgeeks.org/problems/level-order-traversal/1"" rel=""noopener"" target=""_blank""> The interviewer told me to code a level order traversal in a binary tree.</a></p>"
31,"<p>3) An array of numbers are given such that the absolute difference between adjacent elements is 1.Given a value…Return the index of the 1st occurrence of that element.<br/>
I gave an solution where in the 1st value is subtracted from the search value and hops in the array by that difference. if the reached value is the search value ,then return the index or just continue this process. The interviewer was impressed by my solution and told me to code it.</p>"
32,"<p><strong><br/>
F2F-2:</strong><br/>
1) Brief discussion of work in current company</p>"
33,"<p>2) <a href=""https://practice.geeksforgeeks.org/problems/construct-binary-tree-from-parent-array/1"" rel=""noopener"" target=""_blank"">A given  array represents a tree in such a way that the array value gives the parent node of that particular index.The value of the root node index would always be -1.Find the height of the tree.</a></p>"
34,<p>        I gave a iterative solution which was told to be optimized. I did optimize it using memorization concept. I had to code it too.</p>
35,"<p>3)<a href=""https://practice.geeksforgeeks.org/problems/find-the-median/0"" rel=""noopener"" target=""_blank""> Write a program to find the median of 2 sorted arrays when merged.</a></p>"
36,<p>This problem is there in geeksforgeeks.</p>
37,"<p>4)Write an optimised  program to find the number of factors for a particular number<br/>
This was a very simple qn.</p>"
38,"<p><strong>F2F-3:</strong><br/>
1) Brief discussion of work in current company. Why Amazon?</p>"
39,<p>2) Why do you want to leave current company? What do you like most and dislike most about your current company?</p>
40,<p>3) Design a automation framework to test a simple site with a login page .Give the various test cases also that should be considered. Later they told me to give some  enhancements to the code too.</p>
41,<p>4) Design a automation framework to test twitter api’s that is used in a particular site .</p>
42,<p>5)Give the various automation scripts and tools that I implemented in my current project.</p>
43,"<p><strong>F2F-4(Hiring Manager):</strong><br/>
1) Lots of HR, behavioral and team fit questions</p>"
44,<p>2) Describe the most challenging project I have worked on…and why is it challenging.</p>
45,<p>3) An e-commerce site has a particular functionality created by a group A and another functionality created by group B. Design a testing framework that could test the work by A as well as A/\B(intersection).</p>
46,<p>4) I was working  as a security Analyst.So I was asked about 5 critical hacking techniques that can be used to a e-commerce site and describe each.</p>
47,<p><strong>F2F-5(Bar raiser):</strong></p>
48,<p> 1)Again behavioral and team fit questions.</p>
49,"<p>2)Write a program to check the validity  of  sorting algorithms used to sort Linked lists.Consider the case where 2 nodes have equal values too.<br/>
I gave a optimized code using hash table concept. The interviewer was pretty satisfied with my coding ability and started asking me about my projects.</p>"
50,<p>3)More questions on my projects</p>
51,<p>Thank you geeksforgeeks for helping me out during my preparation.</p>
52,"<p>If you like GeeksforGeeks and would like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks<br/>
<!-- code written only in below-mentioned div will be going to append in each articles having mentioned company name and interview experiences term name. --></p>"
53,<p></p>
54,"<p>I attended an interview with Amazon for SDET-I position, about a month back. I did not clear the interview, but I would like thank GeeksforGeeks for the great learning period before the interview. <!--more-->GeeksforGeeks helped a real lot in my interview preparation and in general, my understanding of data structures and algorithms got deeper and stronger. Thank you very much GeeksforGeeks and all your valuable contributors!</p>"
55,<p>Here is my interview experience:</p>
56,"<p><strong>Telephonic 1:</strong><br/>
1.    Given an array and a number, check whether there are any 3 elements in the array which add up to the given number.<br/>
  For example:<br/>
     Given an array {1,2,3,4,5}  and the number 9, return true, as 2,3,4 add up to 9.<br/>
     Given an array {1,2,3,4,5}  and the number 3, return false, as there are no 3 elements which add up to 3, in the array.<br/>
2.    Given a number, find the nearest perfect square(modified binary search)<br/>
  For example:<br/>
        Given 50, return 49<br/>
        Given 25, return 25</p>"
57,"<p><strong>Telephonic 2:</strong><br/>
1. Write a method to check whether two binary trees are mirrors of each other<br/>
<a href=""https://www.geeksforgeeks.org/check-if-two-trees-are-mirror/"" target=""_blank"">https://www.geeksforgeeks.org/check-if-two-trees-are-mirror/</a></p>"
58,"<p>2.    Write a method to print the boundaries of a binary tree<br/>
<a href=""https://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/"" target=""_blank"">https://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/</a></p>"
59,"<p><strong>F2F 1:</strong><br/>
1. Fill an array with the next greater elements (using stack)<br/>
<a href=""https://www.geeksforgeeks.org/next-greater-element/"" target=""_blank"">https://www.geeksforgeeks.org/next-greater-element/</a></p>"
60,"<p>2. Given a binary tree, count the number of occurrences where there are two nodes with the same horizontal distance. To make it clearer, if we assume each node in a cell of a matrix, then count the number of occurrences when there is a collision of two nodes in the same cell.<br/>
<a href=""https://media.geeksforgeeks.org/wp-content/uploads/amaonTree.jpg""><img alt=""amazonInterview"" class=""aligncenter size-full wp-image-131653"" height=""160"" src=""https://media.geeksforgeeks.org/wp-content/uploads/amaonTree.jpg"" width=""208""/></a></p>"
61,<p>Here the count is 1 because 5 and 6 occupy the same cell in the matrix</p>
62,"<p><strong>F2F 2:</strong><br/>
1. Given a linked list, write a program to check if it is a palindrome<br/>
2. Write some test methods for stress testing of Furniture class<br/>
3. Some discussion on automation testing</p>"
63,"<p><strong><br/>
F2F 3: (System automation design)</strong><br/>
System: The user gives a book id to be downloaded and the location in which the book is to be stored. The system downloads the book (if it exists) in the location given by the user and returns a url through which the user can access the book.<br/>
I was asked to design automated test cases for the system. The interviewer kept adding more and more constraints to the system and we discussed about the pros and cons of my approach.</p>"
64,"<p><strong>Hiring Manager:</strong><br/>
1.    Discussion about my current job role<br/>
2.    Several behavioral and team fit questions<br/>
3.    What are the things you will consider (both from Developer’s perspective and User perspective) while trying to develop an application for computer aided competitive examinations like CAT, GMAT etc.</p>"
65,"<p><strong><br/>
Bar Raiser:</strong><br/>
1.    Given a singly linked list, write a recursive method to reverse every 3 nodes in the list.<br/>
I did not write a clean code for this. He moved on because of lack of time.<br/>
2.    Again discussion of my current job role and about the projects I have worked on.<br/>
3.    Tell me 3 things that you want to learn/change in yourself<br/>
4.    Again several team fit questions.</p>"
66,"<p>If you like GeeksforGeeks and would like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.</p>"
67,<p><!-- code written only in below-mentioned div will be going to append in each articles having mentioned company name and interview experiences term name. --></p>
68,<p></p>
69,"<p>I attended an interview with Amazon for SDET-I position, about a month back. I did not clear the interview, but I would like thank GeeksforGeeks for the great learning period before the interview. <!--more-->GeeksforGeeks helped a real lot in my interview preparation and in general, my understanding of data structures and algorithms got deeper and stronger. Thank you very much GeeksforGeeks and all your valuable contributors!</p>"
70,<p>Here is my interview experience:</p>
71,"<p><strong>Telephonic 1:</strong><br/>
1.    Given an array and a number, check whether there are any 3 elements in the array which add up to the given number.<br/>
  For example:<br/>
     Given an array {1,2,3,4,5}  and the number 9, return true, as 2,3,4 add up to 9.<br/>
     Given an array {1,2,3,4,5}  and the number 3, return false, as there are no 3 elements which add up to 3, in the array.<br/>
2.    Given a number, find the nearest perfect square(modified binary search)<br/>
  For example:<br/>
        Given 50, return 49<br/>
        Given 25, return 25</p>"
72,"<p><strong>Telephonic 2:</strong><br/>
1. Write a method to check whether two binary trees are mirrors of each other<br/>
<a href=""https://www.geeksforgeeks.org/check-if-two-trees-are-mirror/"" target=""_blank"">https://www.geeksforgeeks.org/check-if-two-trees-are-mirror/</a></p>"
73,"<p>2.    Write a method to print the boundaries of a binary tree<br/>
<a href=""https://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/"" target=""_blank"">https://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/</a></p>"
74,"<p><strong>F2F 1:</strong><br/>
1. Fill an array with the next greater elements (using stack)<br/>
<a href=""https://www.geeksforgeeks.org/next-greater-element/"" target=""_blank"">https://www.geeksforgeeks.org/next-greater-element/</a></p>"
75,"<p>2. Given a binary tree, count the number of occurrences where there are two nodes with the same horizontal distance. To make it clearer, if we assume each node in a cell of a matrix, then count the number of occurrences when there is a collision of two nodes in the same cell.<br/>
<a href=""https://media.geeksforgeeks.org/wp-content/uploads/amaonTree.jpg""><img alt=""amazonInterview"" class=""aligncenter size-full wp-image-131653"" height=""160"" src=""https://media.geeksforgeeks.org/wp-content/uploads/amaonTree.jpg"" width=""208""/></a></p>"
76,<p>Here the count is 1 because 5 and 6 occupy the same cell in the matrix</p>
77,"<p><strong>F2F 2:</strong><br/>
1. Given a linked list, write a program to check if it is a palindrome<br/>
2. Write some test methods for stress testing of Furniture class<br/>
3. Some discussion on automation testing</p>"
78,"<p><strong><br/>
F2F 3: (System automation design)</strong><br/>
System: The user gives a book id to be downloaded and the location in which the book is to be stored. The system downloads the book (if it exists) in the location given by the user and returns a url through which the user can access the book.<br/>
I was asked to design automated test cases for the system. The interviewer kept adding more and more constraints to the system and we discussed about the pros and cons of my approach.</p>"
79,"<p><strong>Hiring Manager:</strong><br/>
1.    Discussion about my current job role<br/>
2.    Several behavioral and team fit questions<br/>
3.    What are the things you will consider (both from Developer’s perspective and User perspective) while trying to develop an application for computer aided competitive examinations like CAT, GMAT etc.</p>"
80,"<p><strong><br/>
Bar Raiser:</strong><br/>
1.    Given a singly linked list, write a recursive method to reverse every 3 nodes in the list.<br/>
I did not write a clean code for this. He moved on because of lack of time.<br/>
2.    Again discussion of my current job role and about the projects I have worked on.<br/>
3.    Tell me 3 things that you want to learn/change in yourself<br/>
4.    Again several team fit questions.</p>"
81,"<p>If you like GeeksforGeeks and would like to contribute, you can also write an article and mail your article to contribute@geeksforgeeks.org. See your article appearing on the GeeksforGeeks main page and help other Geeks.</p>"
82,<p><!-- code written only in below-mentioned div will be going to append in each articles having mentioned company name and interview experiences term name. --></p>
83,<p></p>
84,<p>I got to know about the open role through my college placement team. I later contacted the Amazon APAC recruiter on LinkedIn and forwarded my resume stating my interest in the role. the role for which hiring was begin done was <i>Software Development Engineer in Test</i>. </p>
85,<p>I along with 5 students in my department heard back from the recruiter and we were provided with an online test link. </p>
86,"<p>The online test was begin held on mettle platform and had 2 coding questions and 20 MCQ’s. the coding questions we easy-medium level and MCQ’s covered ds/algorithm, c language, and OS concepts. </p>"
87,<p>for clearing the online test I would recommend to regularly practice competitive programming and participate in ongoing contests </p>
88,<p>I cleared the online test and was further instructed that I will be having my first round in next 2 days. </p>
89,<p><strong>Round 1:</strong> </p>
90,<p>The interview was being conducted online on the amazon chime platform. I was asked to introduce my self by the interviewer and then I was asked two coding questions </p>
91,"<p>problem 1 – <a href=""https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/"">https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/</a> </p>"
92,<p>I was supposed to clearly explain all the approaches that I was thinking about and also<strong> time and space complexity</strong> were asked. </p>
93,<p>the interviewer was from java background and I coded in CPP so explaining syntaxes was also important. </p>
94,<p><strong>Round 2:</strong> </p>
95,<p><i>This was <strong>design round</strong> and a design problem followed by a graph problem was asked</i> </p>
96,<p>design problem asked to me – https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/ </p>
97,<p>then I was asked – Number of connected components in an undirected graph </p>
98,<p>design problem asked that was asked to my friend – https://www.geeksforgeeks.org/implement-a-dictionary-using-trie/ further asked to modify the code to also support https://www.geeksforgeeks.org/auto-complete-feature-using-trie/ </p>
99,<p><strong>Round 3:</strong> </p>
100,<p><i>This round was <strong>project discussion</strong> round and then question-related to core CS concepts were asked. </i> </p>
101,"<p>The interviewer asked why did I choose to build the project and the difficulties that arose while building the project and how I overcame that. also, questions like why did I choose a certain language or framework was asked. </p>"
102,<p>Then question on OS – deadlock conditions and avoidance and some questions on DBMS were asked. </p>
103,<p><strong>Round 4 :</strong> </p>
104,<p><i>This was <strong>bar raiser</strong> round and the interview was being conducted by an engineering manager or someone at a higher position.</i> </p>
105,<p>question asked – https://leetcode.com/problems/odd-even-linked-list/ </p>
106,"<p>question asked that was asked to my friend – https://leetcode.com/problems/find-median-from-data-stream/. Also, the whole approach was also asked and was asked to explain why does the algorithm work. </p>"
107,<p>The overall interview process was very smooth but giving an interview online requires some preparation. The questions asked in Amazon interview are standard classical problems so make sure to practise enough problems. I would recommend first solving around 150 problems on LeetCode and then depending upon the company you are interviewing for practising problems focused on those companies </p>
108,<p><strong>All the best.</strong><br/> </p>
109,<p></p>
110,<p>I got to know about the open role through my college placement team. I later contacted the Amazon APAC recruiter on LinkedIn and forwarded my resume stating my interest in the role. the role for which hiring was begin done was <i>Software Development Engineer in Test</i>. </p>
111,<p>I along with 5 students in my department heard back from the recruiter and we were provided with an online test link. </p>
112,"<p>The online test was begin held on mettle platform and had 2 coding questions and 20 MCQ’s. the coding questions we easy-medium level and MCQ’s covered ds/algorithm, c language, and OS concepts. </p>"
113,<p>for clearing the online test I would recommend to regularly practice competitive programming and participate in ongoing contests </p>
114,<p>I cleared the online test and was further instructed that I will be having my first round in next 2 days. </p>
115,<p><strong>Round 1:</strong> </p>
116,<p>The interview was being conducted online on the amazon chime platform. I was asked to introduce my self by the interviewer and then I was asked two coding questions </p>
117,"<p>problem 1 – <a href=""https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/"">https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/</a> </p>"
118,<p>I was supposed to clearly explain all the approaches that I was thinking about and also<strong> time and space complexity</strong> were asked. </p>
119,<p>the interviewer was from java background and I coded in CPP so explaining syntaxes was also important. </p>
120,<p><strong>Round 2:</strong> </p>
121,<p><i>This was <strong>design round</strong> and a design problem followed by a graph problem was asked</i> </p>
122,<p>design problem asked to me – https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/ </p>
123,<p>then I was asked – Number of connected components in an undirected graph </p>
124,<p>design problem asked that was asked to my friend – https://www.geeksforgeeks.org/implement-a-dictionary-using-trie/ further asked to modify the code to also support https://www.geeksforgeeks.org/auto-complete-feature-using-trie/ </p>
125,<p><strong>Round 3:</strong> </p>
126,<p><i>This round was <strong>project discussion</strong> round and then question-related to core CS concepts were asked. </i> </p>
127,"<p>The interviewer asked why did I choose to build the project and the difficulties that arose while building the project and how I overcame that. also, questions like why did I choose a certain language or framework was asked. </p>"
128,<p>Then question on OS – deadlock conditions and avoidance and some questions on DBMS were asked. </p>
129,<p><strong>Round 4 :</strong> </p>
130,<p><i>This was <strong>bar raiser</strong> round and the interview was being conducted by an engineering manager or someone at a higher position.</i> </p>
131,<p>question asked – https://leetcode.com/problems/odd-even-linked-list/ </p>
132,"<p>question asked that was asked to my friend – https://leetcode.com/problems/find-median-from-data-stream/. Also, the whole approach was also asked and was asked to explain why does the algorithm work. </p>"
133,<p>The overall interview process was very smooth but giving an interview online requires some preparation. The questions asked in Amazon interview are standard classical problems so make sure to practise enough problems. I would recommend first solving around 150 problems on LeetCode and then depending upon the company you are interviewing for practising problems focused on those companies </p>
134,<p><strong>All the best.</strong><br/> </p>
135,<p></p>
136,<p>This was a pool campus conducted by amazon for internship.</p>
137,<p><strong>Online Round:</strong> There were 20 mcq(+1 for each) and 2 coding questions(+30 for each). MCQ had more networking and DS problems.</p>
138,<p>Input will be of this format</p>
139,"<p>Solving above problem in python is easier than C++. I solved it in C++ using deque(30/30 points).
</p>"
140,"<p>Many people(including me) ignored the ascending order part and got 20/30 points. Later during interview, interviewer asked me to explain my code and told me the corner case.</p>"
141,"<p>Note: Input was given exactly like I said in both problems. It was a bit different from usual problems. You first have to break strings to integers then solve the problem.
</p>"
142,<p><strong>Round 2:</strong></p>
143,"<p>This was on paper round. I have heard there is another easier solution using magic square. 8 were selected from this round.
</p>"
144,<p><strong>Round 3:</strong></p>
145,<p>Technical Interview Round 1</p>
146,<p>The interview started with the most common questions “Tell me about yourself” and “Projects/Internship”. Then there were few theory questions like what is binary tree? What is binary search tree? Then 2 coding questions.</p>
147,"<p>Instead of digits, it was string of alphabets. There was a bug in my code. Interviewer gave me a test case and asked me to test it. Changed the approach and solved it by sorting. He asked which sorting and why? First I said merge sort because of nlogn complexity. Then I said since range is small(1-26), we can use count sort. He asked if we really need sorting? Then I said that reversing the second part was sufficient because it was in descending order.
</p>"
148,"<p><strong>Round 4:<br/>
</strong></p>"
149,<p>Technical Interview Round 2</p>
150,<p>Again discussion on “Tell me about yourself” and “Projects/Internship”.</p>
151,<p>He first asked how will you solve this problem. Gave 3 different approaches. Then finally asked to write code for deque approach.</p>
152,"<p>I was asked few more theory questions from DS and DAA. Like what are some algorithmic paradigm? Difference between Greedy and DP? Questions on Dijkstra(Complexity, greedy or dp). And finally I was given a problem based on graph and was asked which algorithmic paradigm will be used to solve it? Answer was backtracking.</p>"
153,<p>Interviewers were friendly. They helped us giving hints wherever we got stuck.</p>
154,"<p>My advice is read past interview experiences from GeeksforGeeks and practice those problems on <a href=""https://practice.geeksforgeeks.org/"">GeeksforGeeks judge</a>. Brush up your CS fundamentals like Data structures, Algorithms, Networking and Database.</p>"
155,<p>Thank you GeeksforGeeks for helping me during my interview preparation. 🙂                                        </p>
156,"<p>
</p>"
157,<p></p>
158,<p>This was a pool campus conducted by amazon for internship.</p>
159,<p><strong>Online Round:</strong> There were 20 mcq(+1 for each) and 2 coding questions(+30 for each). MCQ had more networking and DS problems.</p>
160,<p>Input will be of this format</p>
161,"<p>Solving above problem in python is easier than C++. I solved it in C++ using deque(30/30 points).
</p>"
162,"<p>Many people(including me) ignored the ascending order part and got 20/30 points. Later during interview, interviewer asked me to explain my code and told me the corner case.</p>"
163,"<p>Note: Input was given exactly like I said in both problems. It was a bit different from usual problems. You first have to break strings to integers then solve the problem.
</p>"
164,<p><strong>Round 2:</strong></p>
165,"<p>This was on paper round. I have heard there is another easier solution using magic square. 8 were selected from this round.
</p>"
166,<p><strong>Round 3:</strong></p>
167,<p>Technical Interview Round 1</p>
168,<p>The interview started with the most common questions “Tell me about yourself” and “Projects/Internship”. Then there were few theory questions like what is binary tree? What is binary search tree? Then 2 coding questions.</p>
169,"<p>Instead of digits, it was string of alphabets. There was a bug in my code. Interviewer gave me a test case and asked me to test it. Changed the approach and solved it by sorting. He asked which sorting and why? First I said merge sort because of nlogn complexity. Then I said since range is small(1-26), we can use count sort. He asked if we really need sorting? Then I said that reversing the second part was sufficient because it was in descending order.
</p>"
170,"<p><strong>Round 4:<br/>
</strong></p>"
171,<p>Technical Interview Round 2</p>
172,<p>Again discussion on “Tell me about yourself” and “Projects/Internship”.</p>
173,<p>He first asked how will you solve this problem. Gave 3 different approaches. Then finally asked to write code for deque approach.</p>
174,"<p>I was asked few more theory questions from DS and DAA. Like what are some algorithmic paradigm? Difference between Greedy and DP? Questions on Dijkstra(Complexity, greedy or dp). And finally I was given a problem based on graph and was asked which algorithmic paradigm will be used to solve it? Answer was backtracking.</p>"
175,<p>Interviewers were friendly. They helped us giving hints wherever we got stuck.</p>
176,"<p>My advice is read past interview experiences from GeeksforGeeks and practice those problems on <a href=""https://practice.geeksforgeeks.org/"">GeeksforGeeks judge</a>. Brush up your CS fundamentals like Data structures, Algorithms, Networking and Database.</p>"
177,<p>Thank you GeeksforGeeks for helping me during my interview preparation. 🙂                                        </p>
178,"<p>
</p>"
179,<p></p>
180,"<p>My friend in Amazon referred me for the job . I was approached by the HR and after lots of delay (1 month), I was scheduled a Telephonic Interview.</p>"
181,<p><strong>Round 1: (Telephonic Interview ) – 1h </strong></p>
182,<p>A screen was shared (Notepad) where I will be writing codes and doing other rough work. I was doing conversation with him on phone.</p>
183,"<p>The interviewer was pretty impressed by my coding skills but not so much with my testing skill (I guess :P). Anyways, I got the call for my next rounds. There were <strong>four</strong> of them at <strong>Hyderabad</strong> itself. Amazon took care of all the travelling and stay (Awesome nah :D)</p>"
184,<p><b>Round 2: (Software development Manager 1 ) : 45 mins</b></p>
185,<p>Asked questions like:</p>
186,<p><strong>Round 3: <b>(Software development Manager 2) : 1h</b></strong></p>
187,<p>Asked questions like:</p>
188,<p><b>Round 3: (Software development Engineer) : 1h</b></p>
189,<p>Asked coding questions (Nailed it AF):</p>
190,<p><b>Round 4: (Quality Assurance Engineer) : 1h</b></p>
191,"<p>Well, Guess what, I was not selected for the role. They were quite impressed by my coding skills and not so much with my testing skills. Fair enough !</p>"
192,"<p><strong>Tips for Aspirants: </strong>Study geeks well (mostly the Data structures part and in Algo mostly the DP part). Go through other interview experience of Amazon . <a href=""https://www.geeksforgeeks.org/amazon-interview-preparation/"">https://www.geeksforgeeks.org/amazon-interview-preparation/</a>  For testing, I don’t have much idea.<br/></p>"
193,"<p>My friend in Amazon referred me for the job . I was approached by the HR and after lots of delay (1 month), I was scheduled a Telephonic Interview.</p>"
194,<p><strong>Round 1: (Telephonic Interview ) – 1h </strong></p>
195,<p>A screen was shared (Notepad) where I will be writing codes and doing other rough work. I was doing conversation with him on phone.</p>
196,"<p>The interviewer was pretty impressed by my coding skills but not so much with my testing skill (I guess :P). Anyways, I got the call for my next rounds. There were <strong>four</strong> of them at <strong>Hyderabad</strong> itself. Amazon took care of all the travelling and stay (Awesome nah :D)</p>"
197,<p><b>Round 2: (Software development Manager 1 ) : 45 mins</b></p>
198,<p>Asked questions like:</p>
199,<p><strong>Round 3: <b>(Software development Manager 2) : 1h</b></strong></p>
200,<p>Asked questions like:</p>
201,<p><b>Round 3: (Software development Engineer) : 1h</b></p>
202,<p>Asked coding questions (Nailed it AF):</p>
203,<p><b>Round 4: (Quality Assurance Engineer) : 1h</b></p>
204,"<p>Well, Guess what, I was not selected for the role. They were quite impressed by my coding skills and not so much with my testing skills. Fair enough !</p>"
205,"<p><strong>Tips for Aspirants: </strong>Study geeks well (mostly the Data structures part and in Algo mostly the DP part). Go through other interview experience of Amazon . <a href=""https://www.geeksforgeeks.org/amazon-interview-preparation/"">https://www.geeksforgeeks.org/amazon-interview-preparation/</a>  For testing, I don’t have much idea.<br/></p>"
206,"<p><strong>Amazon…</strong> <em><strong>“Hire and Develop the Best”.</strong></em> One of the <a href=""https://en.wikipedia.org/wiki/Big_Four_tech_companies"" rel=""noopener"" target=""_blank"">Big Four Tech Companies</a> who cares a lot about their <a href=""https://www.amazon.jobs/en/principles"" rel=""noopener"" target=""_blank"">Leadership Principles</a> when it comes to opening a door for a candidate in the company. Amazon is a top company according to <a href=""https://www.linkedin.com/pulse/linkedin-top-companies-2018-where-us-wants-work-now-daniel-roth/"" rel=""noopener"" target=""_blank"">2018 LinkedIn Article</a>. If you are a person who is preparing yourself to get into this company, you might be definitely aware of the importance of <strong><a href=""https://www.geeksforgeeks.org/data-structures/"" rel=""noopener"" target=""_blank"">Data Structures and Algorithms</a></strong> for interview preparation. </p>"
207,"<p><img alt=""Amazon-Interview-Preparation"" class=""aligncenter size-full wp-image-350608"" sizes=""(max-width: 1000px) 100vw, 1000px"" src=""https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191014193905/Amazon-Interview-Preparation.png"" srcset=""https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191014193905/Amazon-Interview-Preparation.png 1000w, https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191014193905/Amazon-Interview-Preparation-300x199.png 300w, https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191014193905/Amazon-Interview-Preparation-768x509.png 768w, https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191014193905/Amazon-Interview-Preparation-660x438.png 660w""/></p>"
